Query	Subject	% Similarity	E Value	Length
TC_RS00170	CPn0714	73.94	4.9999999999999997e-23	165
TC_RS00175	CPn0713	68.36	1e-19	256
TC_RS00180	CPn0712	70.77	0.0	1461
TC_RS00185	CPn0711	73.15	7e-33	257
TC_RS00190	CPn0710	76.54	5e-47	243
TC_RS00195	CPn0709	68.37	4e-39	449
TC_RS00200	CPn0708	67.85	2.9999999999999996e-37	507
TC_RS00205	CPn0707	76.93	0.0	1322
TC_RS00210	CPn0706	76.13	5.999999999999998e-101	507
TC_RS00215	CPn0705	70.73	7e-08	123
TC_RS00220	CPn0704	68.53	1e-12	197
TC_RS00225	CPn0703	74.42	5.999999999999999e-24	172
TC_RS00230	CPn0702	73.39	0.0	2052
TC_RS00235	CPnt26	97.26	3e-30	73
TC_RS00240	CPn0701	67.86	7e-09	196
TC_RS00245	CPn0815	100.0	0.13	17
TC_RS00245	CPn0317	100.0	0.13	17
TC_RS00250	CPnt25	94.52	2e-27	73
TC_RS00255	CPnt24	100.0	5e-34	75
TC_RS00260	CPn0699	71.24	6.999999999999998e-69	525
TC_RS00265	CPn0698	69.96	2.9999999999999997e-62	536
TC_RS00270	CPn0697	69.82	1.9999999999999997e-89	772
TC_RS00275	CPn0696	69.58	2.9999999999999994e-69	641
TC_RS00280	CPnt23	100.0	7e-32	71
TC_RS00285	CPn0695	68.74	9.999999999999998e-114	1187
TC_RS00290	CPn0694	65.87	9.999999999999997e-87	1377
TC_RS00295	CPn0693	71.3	2.999999999999999e-133	972
TC_RS00300	CPn0692	71.69	0.0	1420
TC_RS00305	CPn0691	64.39	2e-26	674
TC_RS00310	CPn0690	69.19	3e-13	172
TC_RS00315	CPn0689	65.45	2.9999999999999996e-65	1120
TC_RS00320	CPn0684	71.54	1.9999999999999994e-71	520
TC_RS00325	CPn0683	67.76	7.999999999999998e-64	763
TC_RS00330	CPn0682	71.6	1.9999999999999997e-66	507
TC_RS00335	CPn0216	78.57	0.17	42
TC_RS00340	CPn0680	71.04	8e-60	480
TC_RS00345	CPn0679	72.9	9.999999999999999e-115	701
TC_RS00350	CPn0197	100.0	0.021	19
TC_RS00355	CPn0964	100.0	1.1	16
TC_RS00355	CPn0604	100.0	1.1	16
TC_RS00355	CPn0397	90.48	1.1	21
TC_RS00355	CPn0182	87.5	1.1	24
TC_RS00360	CPn0675	72.92	1e-06	96
TC_RS00365	CPn0837	70.27	5.999999999999999e-64	565
TC_RS00370	CPn0838	67.04	2.999999999999999e-110	1329
TC_RS00375	CPn0726	87.5	0.25	24
TC_RS00380	CPn0839	64.11	1.9999999999999998e-15	560
TC_RS00385	CPn0840	65.0	1e-58	1100
TC_RS00390	CPn0841	74.57	0.0	2281
TC_RS00395	CPn0443	90.48	0.47	21
TC_RS00400	CPn0844	68.12	1.9999999999999997e-73	778
TC_RS00405	CPn0845	66.97	1e-88	1226
TC_RS00410	CPn0846	74.49	0.0	1274
TC_RS00415	CPn0847	78.14	2.9999999999999993e-137	590
