Query	Subject	% Similarity	E Value
TC_RS00435	CPn0850	80.64	0.0
TC_RS00440	CPn0851	74.62	0.0
TC_RS00445	CPn0852	69.54	8e-12
TC_RS00450	CPn0853	70.83	3e-27
TC_RS00455	CPn0854	67.02	1e-62
TC_RS00460	CPn0855	69.65	8.999999999999999e-115
TC_RS00465	CPn0856	68.19	5.999999999999998e-106
TC_RS00470	CPn0857	85.37	1e-06
TC_RS00475	CPn0858	67.52	1.9999999999999995e-104
TC_RS00480	CPn0859	69.84	2e-17
TC_RS00485	CPn0738	88.46	0.07400000000000001
TC_RS00485	CPn0120	88.46	0.07400000000000001
TC_RS00490	CPn0861	70.31	4e-10
TC_RS00495	CPn0425	100.0	1.0
TC_RS00495	CPn0386	83.87	1.0
TC_RS00495	CPn0363	87.5	1.0
TC_RS00495	CPn0109	100.0	1.0
TC_RS00500	CPn0863	74.0	7e-114
TC_RS00505	CPn0864	71.24	9.999999999999998e-93
TC_RS00510	CPn0459	92.0	0.038
TC_RS00515	CPn0866	69.79	8e-05
TC_RS00520	CPn0867	69.25	4e-126
TC_RS00525	CPn0868	68.36	0.0
TC_RS00530	CPn0869	65.79	1e-23
TC_RS00535	CPn0870	71.73	0.0
TC_RS00540	CPn0871	76.19	7.999999999999999e-15
TC_RS00545	CPn0872	66.95	2e-85
TC_RS00550	CPn1057	100.0	1.5
TC_RS00550	CPn0715	94.44	1.5
TC_RS00550	CPn0490	94.44	1.5
TC_RS00550	CPn0081	94.44	1.5
TC_RS00555	CPn0874	66.64	1.9999999999999995e-80
TC_RS00560	CPn0875	72.61	2e-56
TC_RS00565	CPn0876	70.6	1e-69
TC_RS00570	CPn1008	95.45	0.11
TC_RS00570	CPn0981	100.0	0.11
TC_RS00575	CPn0878	71.61	9e-62
TC_RS00580	CPn0879	69.51	1.9999999999999997e-70
TC_RS00585	CPn0880	74.51	0.0
TC_RS00590	CPnt32	95.95	4.0000000000000003e-29
TC_RS00595	CPn0338	83.33	0.21
TC_RS00600	CPnr01	94.33	0.0
TC_RS00605	CPnr02	93.83	0.0
TC_RS00610	CPnr03	93.04	1e-44
TC_RS00615	CPn0883	92.0	0.002
TC_RS00620	CPn0883	72.59	0.0
TC_RS00625	CPn0884	76.99	1.9999999999999997e-47
TC_RS00630	CPn0885	64.32	5e-43
TC_RS00635	CPn0886	80.57	2.9999999999999996e-39
TC_RS00640	CPn0519	100.0	0.64
TC_RS00645	CPn0888	86.05	4e-07
TC_RS00650	CPn0889	67.65	7e-118
TC_RS00655	CPn0890	67.02	2.9999999999999995e-45
TC_RS00660	CPn0891	72.56	0.0
TC_RS00665	CPn0892	69.84	0.0
TC_RS00670	CPn0338	83.33	0.24
TC_RS00675	CPnr01	94.33	0.0
TC_RS00680	CPnr02	93.8	0.0
TC_RS00685	CPnr03	93.04	1e-44
TC_RS00690	CPn0893	71.19	0.0
TC_RS00695	CPn0894	70.7	2e-85
TC_RS00700	CPn0895	77.31	8.999999999999998e-125
TC_RS00705	CPn0896	80.0	0.19
TC_RS00710	CPn0897	71.85	7e-14
TC_RS00715	CPn0920	100.0	0.4
TC_RS00715	CPn0707	95.0	0.4
TC_RS00720	CPnt33	98.59	3e-30
TC_RS00725	CPn0899	66.23	2.0000000000000002e-24
TC_RS00725	CPn0899	69.88	2.0000000000000002e-24
TC_RS00730	CPn0900	70.3	5e-29
TC_RS00735	CPn0901	78.16	4e-13
TC_RS00740	CPn0902	68.11	9.999999999999999e-23
TC_RS00745	CPn0903	69.6	9.999999999999999e-134
TC_RS00750	CPn0904	64.92	8.000000000000001e-21
TC_RS00755	CPn0905	64.24	9.999999999999998e-67
TC_RS00760	CPn0353	86.67	0.03
TC_RS00765	CPn0126	86.21	0.017
TC_RS00770	CPn0275	91.3	0.024
TC_RS00775	CPn0910	67.29	5.999999999999999e-73
TC_RS00780	CPn0911	69.9	3.999999999999999e-120
TC_RS00785	CPn0912	67.17	2.9999999999999996e-28
TC_RS00790	CPn0915	71.11	7.999999999999999e-47
TC_RS00795	CPn0916	75.22	0.0
TC_RS00800	CPn0917	73.5	2e-74
TC_RS00805	CPn0918	73.08	2.9999999999999992e-99
TC_RS00810	CPn0919	69.02	1e-37
TC_RS00815	CPn0920	64.42	4e-12
TC_RS00820	CPn0921	67.45	9.999999999999999e-48
TC_RS00825	CPn0922	63.64	5.999999999999999e-37
TC_RS00830	CPn0923	65.52	1.9999999999999999e-22
TC_RS00835	CPn0924	67.94	5.999999999999998e-121
TC_RS00840	CPn0972	94.44	2.1
TC_RS00840	CPn0849	94.44	2.1
TC_RS00840	CPn0448	81.82	2.1
TC_RS00840	CPn0395	100.0	2.1
