CT_249	Q9UBE0	SAE1_HUMAN
CT_249	Q9H0P0	5NT3_HUMAN
CT_249	Q9NX61	T161A_HUMAN
CT_249	Q9HAV0	GBB4_HUMAN
CT_249	P54709	AT1B3_HUMAN
CT_249	Q9H8H3	MET7A_HUMAN
CT_249	Q9Y3E5	PTH2_HUMAN
CT_324	P28331	NDUS1_HUMAN
CT_324	Q13098	CSN1_HUMAN
CT_324	P61201	CSN2_HUMAN
CT_324	Q9UNS2	CSN3_HUMAN
CT_324	Q9BT78	CSN4_HUMAN
CT_324	O43719	HTSF1_HUMAN
CT_324	Q6NUM6	TYW1B_HUMAN
CT_324	Q9Y4X5	ARI1_HUMAN
CT_324	Q9H3P7	GCP60_HUMAN
CT_324	P13489	RINI_HUMAN
CT_324	Q92905	CSN5_HUMAN
CT_324	Q9UBW8	CSN7A_HUMAN
CT_324	P36406	TRI23_HUMAN
CT_357	Q9Y487	VPP2_HUMAN
CT_357	Q93050	VPP1_HUMAN
CT_357	P61421	VA0D1_HUMAN
CT_357	O75787	RENR_HUMAN
CT_357	Q96G23	CERS2_HUMAN
CT_357	Q06136	KDSR_HUMAN
CT_357	P24539	AT5F1_HUMAN
CT_357	Q96NT0	CC115_HUMAN
CT_357	P30049	ATPD_HUMAN
CT_357	O75947	ATP5H_HUMAN
CT_357	P56134	ATPK_HUMAN
CT_357	P56385	ATP5I_HUMAN
CT_357	P03928	ATP8_HUMAN
CT_383	O43149	ZZEF1_HUMAN
CT_383	Q9BZ29	DOCK9_HUMAN
CT_383	Q9C0C9	UBE2O_HUMAN
CT_383	P14735	IDE_HUMAN
CT_383	Q5T447	HECD3_HUMAN
CT_383	Q66LE6	2ABD_HUMAN
CT_383	P51398	RT29_HUMAN
CT_383	P82650	RT22_HUMAN
CT_383	Q8N4Q1	MIA40_HUMAN
CT_383	Q9Y4Y9	LSM5_HUMAN
CT_383	Q9Y4B6	VPRBP_HUMAN
CT_383	O00410	IPO5_HUMAN
CT_383	Q8TEX9	IPO4_HUMAN
CT_383	Q5H9R7	PP6R3_HUMAN
CT_383	Q14566	MCM6_HUMAN
CT_383	Q96EY7	PTCD3_HUMAN
CT_383	O15355	PPM1G_HUMAN
CT_383	Q9Y5Q8	TF3C5_HUMAN
CT_383	Q969S3	ZN622_HUMAN
CT_383	Q96GA3	LTV1_HUMAN
CT_383	P13489	RINI_HUMAN
CT_383	P63151	2ABA_HUMAN
CT_383	P82675	RT05_HUMAN
CT_383	Q9BT78	CSN4_HUMAN
CT_383	Q9NTK5	OLA1_HUMAN
CT_383	Q9BQA1	MEP50_HUMAN
CT_383	Q9Y676	RT18B_HUMAN
CT_383	P54105	ICLN_HUMAN
CT_383	P82930	RT34_HUMAN
CT_383	Q9Y2R5	RT17_HUMAN
CT_383	O75147	OBSL1_HUMAN
CT_383	Q6IA86	ELP2_HUMAN
CT_383	Q96EB6	SIR1_HUMAN
CT_383	O43251	RFOX2_HUMAN
CT_383	P49354	FNTA_HUMAN
CT_440	Q9Y3E0	GOT1B_HUMAN
CT_442	Q9NR09	BIRC6_HUMAN
CT_442	Q9Y4L1	HYOU1_HUMAN
CT_449	O94830	DDHD2_HUMAN
CT_449	Q96S66	CLCC1_HUMAN
CT_449	Q99442	SEC62_HUMAN
CT_449	Q9NX47	MARH5_HUMAN
CT_449	Q9NQC3	RTN4_HUMAN
CT_449	P43304	GPDM_HUMAN
CT_449	Q8N0U8	VKORL_HUMAN
CT_449	Q96GC9	VMP1_HUMAN
CT_449	Q9NZJ7	MTCH1_HUMAN
CT_449	Q8TCT_9	HM13_HUMAN
CT_449	Q96MH6	TMM68_HUMAN
CT_449	Q99720	SGMR1_HUMAN
CT_556	Q9Y2H6	FND3A_HUMAN
CT_556	Q58WW2	DCAF6_HUMAN
CT_556	O94826	TOM70_HUMAN
CT_556	Q9UJX3	APC7_HUMAN
CT_556	Q01581	HMCS1_HUMAN
CT_556	Q8NBN7	RDH13_HUMAN
CT_556	O43759	SNG1_HUMAN
CT_556	P62491	RB11A_HUMAN
CT_556	Q8N0U8	VKORL_HUMAN
CT_556	Q9NVH1	DJC11_HUMAN
CT_556	Q9H3G5	CPVL_HUMAN
CT_556	Q9P0L0	VAPA_HUMAN
CT_556	P84077	ARF1_HUMAN
CT_556	P38435	VKGC_HUMAN
